# Expression Atlas
# Query: Genes matching: 'default query', specifically expressed above the expression level cutoff: 0 TPM in experiment E-MTAB-3719
# Selected columns: 6 (all)
# Timestamp: Fri, 24-Aug-2018 23:20:29
Gene ID	Gene Name	brain	cerebellum	heart	kidney	liver	testis
ENSMODG00000004886	ENSMODG00000004886						19.0
ENSMODG00000004887	ENSMODG00000004887	5.0	7.0	2.0	3.0	2.0	5.0
ENSMODG00000004888	ENSMODG00000004888	0.9	1.0	0.6	3.0	0.6	113.0
ENSMODG00000004889	INTS4	15.0	23.0	19.0	22.0	21.0	52.0
ENSMODG00000004890	TMEM45B	1.0	0.9	0.3	6.0	0.3	7.0
ENSMODG00000004891	PKHD1L1	1.0	0.2	0.1	2.0	0.3	0.1
ENSMODG00000004892	TMED5	7.0	2.0	8.0	23.0	43.0	22.0
ENSMODG00000004893	ENSMODG00000004893						0.5
ENSMODG00000004894	TLX2		1.0				32.0
ENSMODG00000004895	GDPD2	23.0	24.0		1.0	193.0	0.3
ENSMODG00000004897	AGTR2	0.1	0.3	1.0	2.0		6.0
ENSMODG00000004898	DPP6	164.0	426.0	0.4	3.0		7.0
ENSMODG00000004899	FGFR4	2.0	5.0	0.2	70.0	49.0	9.0
ENSMODG00000004900	ENSMODG00000004900	12.0	10.0	10.0	7.0	6.0	72.0
ENSMODG00000004901	ENSMODG00000004901	48.0	56.0	218.0	73.0	51.0	135.0
ENSMODG00000004905	CDH20	19.0	13.0	0.1	20.0		4.0
ENSMODG00000004907	ENSMODG00000004907	2.0	2.0	0.2	0.6	0.4	1.0
ENSMODG00000004909	ENSMODG00000004909						0.1
ENSMODG00000004910	JAG1	14.0	18.0	15.0	39.0	3.0	9.0
ENSMODG00000004911	ENSMODG00000004911	0.3	0.1	0.1			1.0
ENSMODG00000004913	SERPINE1	1.0	0.4	3.0	2.0	3.0	0.2
ENSMODG00000004914	CASQ2	0.1	0.3	295.0	2.0	0.1	1.0
ENSMODG00000004915	PARN	22.0	16.0	23.0	20.0	8.0	25.0
ENSMODG00000004916	ENSMODG00000004916						0.4
ENSMODG00000004917	RSF1	13.0	12.0	4.0	8.0	4.0	25.0
ENSMODG00000004918	ENSMODG00000004918	4.0	8.0	2.0	1.0	2.0	15.0
ENSMODG00000004920	PCGF1	44.0	54.0	14.0	19.0	8.0	172.0
ENSMODG00000004921	ENSMODG00000004921	12.0	19.0	4.0	11.0	3.0	7.0
ENSMODG00000004923	ENSMODG00000004923	26.0	33.0	10.0	8.0	5.0	16.0
ENSMODG00000004924	BTBD3	212.0	353.0	9.0	8.0	4.0	13.0
ENSMODG00000004926	NUDCD1	6.0	5.0	1.0	2.0	2.0	12.0
ENSMODG00000004927	LBX2	0.1					2.0
ENSMODG00000004928	ENSMODG00000004928	3.0	2.0	1.0	2.0	3.0	10.0
ENSMODG00000004929	PAXIP1	9.0	15.0	6.0	10.0	8.0	24.0
ENSMODG00000004930	BFAR	36.0	26.0	18.0	27.0	17.0	36.0
ENSMODG00000004931	SLC22A15	4.0	4.0	0.1	5.0	0.1	0.3
ENSMODG00000004933	ENSMODG00000004933						31.0
ENSMODG00000004935	TRHR	3.0	0.1				0.1
ENSMODG00000004939	TMEM74	8.0	2.0		1.0		0.1
ENSMODG00000004940	PLS3	27.0	13.0	23.0	103.0	5.0	4.0
ENSMODG00000004944	ENSMODG00000004944	3.0	0.7	0.2	3.0	1.0	1059.0
ENSMODG00000004946	ENSMODG00000004946	120.0	33.0	5.0	23.0	10.0	11.0
ENSMODG00000004947	MAB21L3	0.1			0.7		
ENSMODG00000004949	ENSMODG00000004949	4.0	6.0	1.0	2.0	0.7	1.0
ENSMODG00000004950	ENSMODG00000004950	51.0	31.0	9.0	22.0	5.0	25.0
ENSMODG00000004951	CCDC142	24.0	49.0	8.0	20.0	9.0	42.0
ENSMODG00000004952	VGF	29.0	2.0				
ENSMODG00000004954	EMC2	63.0	36.0	21.0	22.0	11.0	21.0
ENSMODG00000004955	UIMC1	14.0	15.0	3.0	4.0	3.0	20.0
ENSMODG00000004956	PIGN	3.0	4.0	1.0	3.0	2.0	6.0
ENSMODG00000004957	WDSUB1	6.0	9.0	6.0	8.0	4.0	8.0
ENSMODG00000004958	NFRKB	20.0	61.0	11.0	20.0	9.0	22.0
ENSMODG00000004959	SUSD4	21.0	62.0	4.0	0.7	0.1	0.6
ENSMODG00000004960	ENSMODG00000004960	0.1	0.1				
ENSMODG00000004961	MOGS	58.0	94.0	124.0	158.0	101.0	74.0
ENSMODG00000004962	DLG3	87.0	77.0	1.0	11.0	4.0	2.0
ENSMODG00000004964	ENSMODG00000004964						664.0
ENSMODG00000004965	ENSMODG00000004965	3.0	2.0	9.0	4.0	2.0	4.0
ENSMODG00000004966	ANO4	5.0	8.0	0.1			
ENSMODG00000004968	WBP1	57.0	93.0	50.0	76.0	32.0	135.0
ENSMODG00000004969	HTR5A	0.1	0.7		0.2		0.4
ENSMODG00000004971	MTF2	21.0	25.0	5.0	15.0	8.0	48.0
ENSMODG00000004972	KLKB1			0.2	0.5	142.0	
ENSMODG00000004973	GAS2L3	0.2	0.2	3.0	0.4	1.0	2.0
ENSMODG00000004974	INSIG1	17.0	32.0	5.0	22.0	119.0	62.0
ENSMODG00000004975	ENSMODG00000004975	32.0	42.0	17.0	29.0	18.0	93.0
ENSMODG00000004976	ENSMODG00000004976	8.0	6.0	1.0	5.0	2.0	13.0
ENSMODG00000004977	MOGAT3	0.2	0.2		31.0	21.0	83.0
ENSMODG00000004978	EN2	2.0	150.0	0.2	5.0		
ENSMODG00000004979	PRDM10	7.0	8.0	1.0	3.0	1.0	8.0
ENSMODG00000004981	CNPY1	0.2	18.0		0.1		0.8
ENSMODG00000004982	RTKN	80.0	30.0	111.0	69.0	25.0	5.0
ENSMODG00000004984	ENSMODG00000004984	23.0	22.0	8.0	13.0	5.0	51.0
ENSMODG00000004985	ENSMODG00000004985	0.8	0.6		0.3		39.0
ENSMODG00000004986	ZC3H7A	16.0	14.0	5.0	7.0	6.0	11.0
ENSMODG00000004987	ENSMODG00000004987						10.0
ENSMODG00000004988	ENSMODG00000004988	0.1	0.1				
ENSMODG00000004989	F11					15.0	1.0
ENSMODG00000004990	MBTPS1	34.0	54.0	48.0	82.0	37.0	57.0
ENSMODG00000004992	ENSMODG00000004992	148.0	116.0	44.0	71.0	18.0	37.0
ENSMODG00000004993	WDR54	73.0	96.0	10.0	63.0	4.0	99.0
ENSMODG00000004994	THOP1	17.0	22.0	15.0	17.0	8.0	19.0
ENSMODG00000004996	NR1H4			0.5	16.0	76.0	
ENSMODG00000004997	ENSMODG00000004997	6.0	9.0	1.0	8.0	1.0	63.0
ENSMODG00000004998	COL5A3	5.0	5.0	8.0	0.8	0.1	2.0
ENSMODG00000004999	MTNR1A	0.3	0.2				
ENSMODG00000005000	HK3		0.1	0.2	0.2	3.0	1.0
ENSMODG00000005001	ENSMODG00000005001					0.1	0.5
ENSMODG00000005002	SLC38A8	0.3	0.2	0.3	0.2	0.1	1.0
ENSMODG00000005003	CAPN8	0.2			0.1		0.4
ENSMODG00000005005	BAZ2B	10.0	12.0	5.0	8.0	5.0	103.0
ENSMODG00000005006	RBM33	29.0	47.0	22.0	22.0	14.0	90.0
ENSMODG00000005007	TXNDC11	22.0	20.0	5.0	23.0	30.0	11.0
ENSMODG00000005008	ALDH18A1	6.0	6.0	0.9	10.0	6.0	23.0
ENSMODG00000005011	FBN3	3.0	0.3	2.0	0.3	0.1	1.0
ENSMODG00000005012	ENSMODG00000005012						0.1
ENSMODG00000005013	ENSMODG00000005013	2.0	0.7		22.0	270.0	1.0
ENSMODG00000005014	ENSMODG00000005014	16.0	8.0	10.0	18.0	10.0	19.0
ENSMODG00000005015	SPTLC3						0.2
ENSMODG00000005016	ENSMODG00000005016	35.0	26.0	65.0	82.0	45.0	19.0
ENSMODG00000005017	PLOD3	13.0	16.0	12.0	25.0	9.0	6.0
ENSMODG00000005018	ENSMODG00000005018	15.0	51.0	13.0	70.0	6.0	31.0
ENSMODG00000005019	RDH8	0.6	0.6	0.1	3.0	0.1	1.0
ENSMODG00000005022	ISM1	22.0	25.0	3.0	9.0		1.0
ENSMODG00000005023	SLC17A8	0.2			0.1	1.0	0.3
ENSMODG00000005024	ZNHIT1	120.0	103.0	57.0	69.0	48.0	68.0
ENSMODG00000005025	ENSMODG00000005025	26.0	27.0	21.0	28.0	22.0	38.0
ENSMODG00000005026	LRCH2	9.0	4.0	2.0	1.0		5.0
ENSMODG00000005028	SHH	4.0	3.0		5.0		0.7
ENSMODG00000005029	ENSMODG00000005029	33.0	1.0	1.0	12.0		1.0
ENSMODG00000005030	CLDN15	29.0	55.0	6.0	60.0	3.0	11.0
ENSMODG00000005031	SDHC	101.0	117.0	309.0	319.0	188.0	44.0
ENSMODG00000005032	MARCH7	39.0	42.0	24.0	35.0	23.0	35.0
ENSMODG00000005033	AQP11	10.0	7.0	2.0	36.0	18.0	82.0
ENSMODG00000005034	ENSMODG00000005034	353.0	398.0	228.0	260.0	102.0	41.0
ENSMODG00000005035	ATP1A1	991.0	1604.0	605.0	5584.0	160.0	153.0
ENSMODG00000005036	CPNE9	148.0	117.0	3.0	37.0	26.0	9.0
ENSMODG00000005037	ENSMODG00000005037	0.1	0.1			0.5	0.1
ENSMODG00000005038	NECAB2	97.0	2.0	0.9	3.0	3.0	1.0
ENSMODG00000005039	ADAMTSL5	17.0	5.0	20.0	47.0	0.2	4.0
ENSMODG00000005040	APLP2	294.0	484.0	177.0	919.0	63.0	63.0
ENSMODG00000005041	ELAVL1	14.0	15.0	9.0	15.0	7.0	14.0
ENSMODG00000005042	HTR2C	104.0	9.0			0.1	
ENSMODG00000005043	MPZ	3.0	4.0	2.0	0.6		0.6
ENSMODG00000005044	TASP1	23.0	11.0	6.0	11.0	5.0	17.0
ENSMODG00000005045	ENSMODG00000005045	0.5	0.2		0.1		0.1
ENSMODG00000005047	ENSMODG00000005047						8.0
ENSMODG00000005049	OSGIN1	0.2		0.4	16.0	107.0	102.0
ENSMODG00000005050	REEP6	5.0	2.0		146.0	99.0	200.0
ENSMODG00000005051	ENSMODG00000005051	105.0	103.0	514.0	129.0	108.0	28.0
ENSMODG00000005052	ENSMODG00000005052	4.0	3.0	1.0	2.0	1.0	3.0
ENSMODG00000005054	TRPC5	4.0	0.2	0.1	0.1	0.1	0.3
ENSMODG00000005055	UNC5A	42.0	14.0		0.1	0.1	1.0
ENSMODG00000005056	MYO16	5.0	4.0		0.7	0.1	1.0
ENSMODG00000005059	KIAA1468	18.0	16.0	3.0	11.0	4.0	7.0
ENSMODG00000005060	SLC7A3	7.0	3.0	0.7	1.0	0.2	364.0
ENSMODG00000005061	TIMM44	18.0	15.0	16.0	16.0	11.0	18.0
ENSMODG00000005062	ENSMODG00000005062	3.0	0.2		5.0	0.7	221.0
ENSMODG00000005063	IGSF3	10.0	27.0	2.0	9.0	1.0	11.0
ENSMODG00000005064	ST14	0.4	0.3	0.1	37.0	0.9	1.0
ENSMODG00000005065	ENSMODG00000005065	16.0	4.0	0.3	0.6		39.0
ENSMODG00000005066	ESF1	7.0	3.0	3.0	7.0	7.0	9.0
ENSMODG00000005067	TNFSF13B	0.6	0.6		0.2	0.1	0.3
ENSMODG00000005068	C19orf25	8.0	8.0	3.0	5.0	4.0	4.0
ENSMODG00000005069	ENSMODG00000005069	136.0	10.0	5.0	10.0	4.0	16.0
ENSMODG00000005072	ENSMODG00000005072	0.7	0.2	0.7	0.3	0.2	0.2
ENSMODG00000005073	RNF32	0.7	0.3		0.1		37.0
ENSMODG00000005074	ENSMODG00000005074			0.2	0.3	1.0	0.1
ENSMODG00000005075	SCYL2	10.0	10.0	5.0	9.0	7.0	15.0
ENSMODG00000005077	SLC7A6	13.0	17.0	4.0	11.0	1.0	29.0
ENSMODG00000005078	PAK1	391.0	714.0	1.0	54.0	5.0	82.0
ENSMODG00000005080	ENSMODG00000005080	8.0	8.0	6.0	7.0	5.0	35.0
ENSMODG00000005081	LMBR1	13.0	18.0	2.0	7.0	2.0	22.0
ENSMODG00000005082	ENSMODG00000005082	28.0	20.0	23.0	17.0	12.0	14.0
ENSMODG00000005083	ACIN1	71.0	131.0	34.0	53.0	24.0	121.0
ENSMODG00000005085	BRPF1	27.0	51.0	12.0	22.0	9.0	78.0
ENSMODG00000005086	TSPAN17	48.0	33.0	20.0	11.0	8.0	23.0
ENSMODG00000005087	ENSMODG00000005087	0.1			0.1	0.1	17.0
ENSMODG00000005088	IL2RG	2.0	2.0	0.4	1.0	3.0	15.0
ENSMODG00000005089	NR1I3	15.0	7.0	8.0	40.0	207.0	0.4
ENSMODG00000005090	ENSMODG00000005090	1.0	1.0	0.4	0.9	0.2	821.0
ENSMODG00000005091	SMPD3	36.0	17.0	7.0	0.3	0.1	1.0
ENSMODG00000005093	ENSMODG00000005093	0.5	0.3	0.1	0.9	0.4	6.0
ENSMODG00000005094	CAPN2	52.0	66.0	34.0	72.0	16.0	12.0
ENSMODG00000005096	PTGFRN	6.0	4.0	18.0	13.0	4.0	3.0
ENSMODG00000005097	EIF4E1B	0.8	0.4				
ENSMODG00000005098	AMOT	17.0	18.0	3.0	12.0	3.0	8.0
ENSMODG00000005099	ENSMODG00000005099	5.0	13.0	4.0	7.0	2.0	5.0
ENSMODG00000005100	NDST3	19.0	5.0				0.1
ENSMODG00000005101	ZCCHC2	10.0	12.0	8.0	11.0	9.0	24.0
ENSMODG00000005102	ENSMODG00000005102	69.0	36.0			0.4	
ENSMODG00000005103	CD101	0.1		0.1	0.2	0.3	2.0
ENSMODG00000005104	ENSMODG00000005104		0.1				0.1
ENSMODG00000005106	ENSMODG00000005106	0.3	0.6	0.1	0.6	0.7	8.0
ENSMODG00000005107	ENSMODG00000005107		0.1		0.4	94.0	0.1
ENSMODG00000005108	ADAMTS8	2.0	1.0	8.0	9.0	2.0	18.0
ENSMODG00000005109	LHFPL1	1.0	1.0	0.2	0.3		34.0
ENSMODG00000005110	PRMT7	20.0	15.0	13.0	21.0	5.0	216.0
ENSMODG00000005111	TOMM40L	60.0	65.0	64.0	54.0	74.0	4.0
ENSMODG00000005113	APC2	47.0	57.0	0.1	0.3		4.0
ENSMODG00000005114	CAMK1	58.0	50.0	20.0	15.0	4.0	4.0
ENSMODG00000005115	TP53BP2	15.0	20.0	5.0	14.0	8.0	4.0
ENSMODG00000005117	SLC7A6OS	21.0	23.0	17.0	14.0	11.0	107.0
ENSMODG00000005118	APOA2	0.9	3.0	0.6	3.0	15169.0	0.8
ENSMODG00000005119	ENSMODG00000005119	82.0	88.0	114.0	234.0	147.0	47.0
ENSMODG00000005120	C19orf66	28.0	47.0	5.0	19.0	17.0	20.0
ENSMODG00000005121	ENSMODG00000005121	28.0	60.0	33.0	68.0	23.0	103.0
ENSMODG00000005122	ACTR6	21.0	14.0	13.0	7.0	8.0	8.0
ENSMODG00000005124	FCER1G	36.0	17.0	3.0	10.0	34.0	14.0
ENSMODG00000005125	CDHR2	1.0	0.5		40.0	6.0	3.0
ENSMODG00000005126	ENSMODG00000005126	2.0	1.0	2.0	0.5	18.0	5.0
ENSMODG00000005128	FBXO28	14.0	12.0	5.0	9.0	5.0	8.0
ENSMODG00000005129	TADA3	15.0	17.0	5.0	12.0	5.0	14.0
ENSMODG00000005130	RMI2	0.1	0.1		0.2	0.1	0.4
ENSMODG00000005131	ENSMODG00000005131	29.0	48.0	28.0	71.0	19.0	31.0
ENSMODG00000005132	ENSMODG00000005132	23.0	24.0	7.0	6.0	2.0	36.0
ENSMODG00000005134	DEGS1	29.0	28.0	7.0	8.0	8.0	3.0
ENSMODG00000005135	PRM1	0.4			0.4		44384.0
ENSMODG00000005136	ARPC4	262.0	145.0	58.0	145.0	92.0	68.0
ENSMODG00000005137	ANGPTL6	0.7	0.5			1.0	0.4
ENSMODG00000005139	PLA2G15	11.0	13.0	3.0	20.0	5.0	8.0
ENSMODG00000005140	SOCS1	6.0	11.0	4.0	20.0	3.0	0.4
ENSMODG00000005141	ENSMODG00000005141	228.0	268.0	262.0	141.0	35.0	122.0
ENSMODG00000005145	TTF2	2.0	4.0	2.0	23.0	13.0	6.0
ENSMODG00000005146	ENSMODG00000005146	0.9				2.0	9.0
ENSMODG00000005148	NDUFS2	372.0	445.0	865.0	713.0	369.0	138.0
ENSMODG00000005150	NRXN3	45.0	83.0				13.0
ENSMODG00000005152	CDH24	14.0	42.0	1.0	3.0	1.0	0.7
ENSMODG00000005153	RNF44	160.0	188.0	32.0	55.0	14.0	235.0
ENSMODG00000005157	DAZAP1	22.0	42.0	11.0	19.0	12.0	46.0
ENSMODG00000005158	PPAN	18.0	25.0	6.0	13.0	24.0	25.0
ENSMODG00000005159	ENSMODG00000005159	1.0	2.0	0.3	0.6	0.3	6.0
ENSMODG00000005160	TRIM45	13.0	11.0	10.0	12.0	5.0	492.0
ENSMODG00000005161	ADAMTS15	4.0	1.0	6.0	3.0	0.8	3.0
ENSMODG00000005162	ENSMODG00000005162	47.0	176.0	11.0	6.0	7.0	8.0
ENSMODG00000005163	NVL	26.0	22.0	20.0	22.0	14.0	27.0
ENSMODG00000005164	PSMB5	40.0	50.0	52.0	32.0	19.0	22.0
ENSMODG00000005166	CLEC16A	30.0	58.0	9.0	12.0	4.0	39.0
ENSMODG00000005167	GAMT	50.0	56.0	17.0	210.0	108.0	40.0
ENSMODG00000005168	MYO7A	0.9	0.3	1.0	18.0	4.0	16.0
ENSMODG00000005169	ENSMODG00000005169	0.4	0.3		0.1		3.0
ENSMODG00000005170	VTCN1	1.0	0.6	0.1	0.8	0.1	2.0
ENSMODG00000005171	C14orf93	1.0	2.0	1.0	5.0	0.9	0.5
ENSMODG00000005172	ENSMODG00000005172	0.5	0.2	1.0			14.0
ENSMODG00000005173	ENSMODG00000005173	96.0	108.0	82.0	159.0	135.0	244.0
ENSMODG00000005174	TVP23A	10.0	23.0	0.2	0.1		33.0
ENSMODG00000005175	ENSMODG00000005175	28.0	36.0	23.0	24.0	14.0	12.0
ENSMODG00000005176	FAF2	25.0	27.0	7.0	18.0	12.0	40.0
ENSMODG00000005177	NOM1	6.0	8.0	3.0	6.0	3.0	5.0
ENSMODG00000005180	CNIH4	13.0	15.0	8.0	11.0	5.0	13.0
ENSMODG00000005181	UHRF1BP1L	38.0	29.0	8.0	11.0	14.0	6.0
ENSMODG00000005182	NDUFS7	52.0	81.0	230.0	102.0	42.0	23.0
ENSMODG00000005183	ESRP2		0.4	0.6	60.0	118.0	7.0
ENSMODG00000005184	NOP56	83.0	108.0	39.0	56.0	43.0	27.0
ENSMODG00000005185	ENSMODG00000005185	7.0	7.0	6.0	8.0	3.0	119.0
ENSMODG00000005187	SNX19	17.0	22.0	12.0	16.0	3.0	7.0
ENSMODG00000005188	ENSMODG00000005188						0.1
ENSMODG00000005189	PLA2R1	0.2	0.1	3.0	0.5	2.0	2.0
ENSMODG00000005190	CLTB	101.0	142.0	63.0	18.0	7.0	50.0
ENSMODG00000005191	MNX1		0.1				
ENSMODG00000005192	ADAMTS4	24.0	13.0	4.0	2.0	0.4	2.0
ENSMODG00000005193	MAN1A2	30.0	25.0	6.0	23.0	25.0	57.0
ENSMODG00000005195	ENSMODG00000005195	987.0	1763.0	128.0	98.0	37.0	111.0
ENSMODG00000005196	ENSMODG00000005196	5.0	3.0	1.0	3.0	3.0	24.0
ENSMODG00000005197	ENSMODG00000005197	148.0	82.0	121.0	104.0	45.0	134.0
ENSMODG00000005198	CAPN5	8.0	5.0	4.0	30.0	4.0	20.0
ENSMODG00000005199	DCX	7.0	1.0				2.0
ENSMODG00000005200	ENSMODG00000005200	0.3					
ENSMODG00000005201	ENSMODG00000005201	8.0	5.0	0.7	1.0	0.3	53.0
ENSMODG00000005203	ENSMODG00000005203	0.2			0.6	623.0	36.0
ENSMODG00000005204	PRMT5	65.0	105.0	33.0	50.0	23.0	351.0
ENSMODG00000005205	ENSMODG00000005205		0.3			0.2	0.3
ENSMODG00000005206	ENSMODG00000005206	15.0	1.0	0.1	3.0	0.8	8.0
ENSMODG00000005207	ENSMODG00000005207	155.0	90.0	157.0	113.0	71.0	99.0
ENSMODG00000005208	ENSMODG00000005208	200.0	412.0	836.0	346.0	102.0	92.0
ENSMODG00000005209	ENSMODG00000005209	0.1				7.0	
ENSMODG00000005210	ENSMODG00000005210	11.0	11.0	7.0	9.0	3.0	11.0
ENSMODG00000005212	REM2	9.0	5.0	0.1		0.4	3.0
ENSMODG00000005213	ENSMODG00000005213	30.0	25.0	2.0	3.0	1.0	0.8
ENSMODG00000005214	ENSMODG00000005214	74.0	57.0	58.0	82.0	61.0	98.0
ENSMODG00000005215	GDAP2	12.0	7.0	3.0	10.0	5.0	8.0
ENSMODG00000005216	ACER3	22.0	10.0	7.0	44.0	51.0	66.0
ENSMODG00000005217	NDST4	2.0	2.0	0.5	3.0	2.0	
ENSMODG00000005218	PHLPP1	47.0	59.0	5.0	11.0	7.0	72.0
ENSMODG00000005219	CAMTA2	239.0	320.0	45.0	66.0	24.0	40.0
ENSMODG00000005220	ENSMODG00000005220	4.0	2.0	0.8	1.0	0.5	0.8
ENSMODG00000005221	ENSMODG00000005221	0.3	0.3				6.0
ENSMODG00000005222	SEL1L2						311.0
ENSMODG00000005223	ENSMODG00000005223						13.0
ENSMODG00000005225	CIDEC	0.9	0.3		109.0	456.0	4.0
ENSMODG00000005227	WDR26	52.0	51.0	49.0	46.0	27.0	47.0
ENSMODG00000005228	ADCK1	2.0	0.4	0.5	0.5	0.2	5.0
ENSMODG00000005229	B4GALT3	61.0	75.0	35.0	95.0	21.0	68.0
ENSMODG00000005232	EIF3E	60.0	40.0	62.0	84.0	59.0	37.0
ENSMODG00000005233	LRP10	19.0	24.0	35.0	129.0	35.0	16.0
ENSMODG00000005234	CIITA	0.2	0.8	0.2	0.6	0.8	3.0
ENSMODG00000005235	ITGB6	0.3	0.1	16.0	8.0	0.1	0.2
ENSMODG00000005236	JAGN1	16.0	15.0	3.0	9.0	7.0	2.0
ENSMODG00000005237	ARL10	9.0	7.0	1.0	3.0	2.0	3.0
ENSMODG00000005238	CAPN6	4.0	1.0	0.7	0.2		0.7
ENSMODG00000005239	UBE3C	17.0	19.0	10.0	12.0	5.0	25.0
ENSMODG00000005240	SORBS1	25.0	11.0	117.0	4.0	2.0	4.0
ENSMODG00000005241	SPAG7	10.0	5.0	11.0	9.0	3.0	7.0
ENSMODG00000005242	BCL2	12.0	25.0	27.0	21.0	5.0	13.0
ENSMODG00000005243	WDR3	10.0	10.0	5.0	6.0	5.0	12.0
ENSMODG00000005246	RSPO2	23.0	3.0	0.2		1.0	
ENSMODG00000005247	PPOX	57.0	87.0	33.0	49.0	20.0	33.0
ENSMODG00000005248	ENSMODG00000005248			0.1			
ENSMODG00000005249	NUBP1	10.0	13.0	2.0	6.0	3.0	12.0
ENSMODG00000005250	RBMS1	13.0	18.0	23.0	26.0	8.0	7.0
ENSMODG00000005251	UGT8	67.0	54.0		8.0		26.0
ENSMODG00000005252	SNW1	30.0	23.0	11.0	18.0	13.0	32.0
ENSMODG00000005254	ENSMODG00000005254	98.0	64.0	56.0	43.0	15.0	167.0
ENSMODG00000005255	PAK3	23.0	9.0	0.1	0.3	0.3	13.0
ENSMODG00000005256	EBF4	24.0	14.0	1.0	5.0	1.0	2.0
ENSMODG00000005257	EFNA2	18.0	14.0	0.2	3.0	2.0	0.9
ENSMODG00000005258	KDSR	10.0	12.0	3.0	9.0	7.0	8.0
ENSMODG00000005259	TEKT5	8.0	6.0	4.0	4.0	0.3	102.0
ENSMODG00000005262	ENSMODG00000005262	125.0	103.0	0.4	15.0	0.3	20.0
ENSMODG00000005263	ALKBH1	17.0	19.0	10.0	15.0	6.0	15.0
ENSMODG00000005265	ENSMODG00000005265	19.0	11.0	4.0	41.0	0.8	6.0
ENSMODG00000005266	ENSMODG00000005266	0.1			3.0		3.0
ENSMODG00000005267	USP21	61.0	77.0	35.0	44.0	22.0	25.0
ENSMODG00000005270	EMP2	19.0	13.0	43.0	30.0	9.0	4.0
ENSMODG00000005272	ENSMODG00000005272	3.0	2.0	1.0	1.0	0.6	3.0
ENSMODG00000005273	ENO3	6.0	6.0	71.0	5.0	3.0	6.0
ENSMODG00000005274	ENSMODG00000005274	54.0	52.0	122.0	302.0	34.0	63.0
ENSMODG00000005275	ENSMODG00000005275	11.0	9.0	4.0	8.0	2.0	7.0
ENSMODG00000005276	NFATC3	6.0	11.0	7.0	12.0	6.0	33.0
ENSMODG00000005277	ENSMODG00000005277	11.0	9.0	2.0	3.0	3.0	3.0
ENSMODG00000005278	LRRC32	6.0	4.0	5.0	9.0	0.6	1.0
ENSMODG00000005279	MMP14	9.0	8.0	8.0	10.0	8.0	41.0
ENSMODG00000005282	UFC1	164.0	197.0	72.0	153.0	130.0	59.0
ENSMODG00000005283	ANGPT1	3.0	4.0	0.5	5.0	0.4	1.0
ENSMODG00000005284	MRPL52	38.0	27.0	72.0	45.0	30.0	19.0
ENSMODG00000005285	VPS4B	14.0	8.0	8.0	18.0	11.0	10.0
ENSMODG00000005286	ENSMODG00000005286	0.3	0.3	1.0	0.1	0.1	49.0
ENSMODG00000005287	SPTLC2	26.0	21.0	9.0	39.0	11.0	11.0
ENSMODG00000005288	FLRT3	25.0	3.0	0.7	3.0	1.0	1.0
ENSMODG00000005289	ENSMODG00000005289	10.0	9.0	9.0	9.0	13.0	10.0
ENSMODG00000005290	CIRBP	390.0	518.0	147.0	197.0	90.0	214.0
ENSMODG00000005293	PDLIM1	4.0	3.0	19.0	3.0	14.0	4.0
ENSMODG00000005295	DUS2	18.0	22.0	6.0	10.0	6.0	20.0
ENSMODG00000005296	SERPINB5						0.1
ENSMODG00000005297	ENSMODG00000005297	0.2	0.1	29.0			
ENSMODG00000005298	CPXM1	3.0	0.8	5.0	8.0	0.5	50.0
ENSMODG00000005299	PFN1	638.0	1197.0	631.0	1183.0	755.0	342.0
ENSMODG00000005300	MIDN	26.0	29.0	39.0	51.0	29.0	14.0
ENSMODG00000005301	ENSMODG00000005301	0.8	0.7	4.0	2.0	2.0	4.0
ENSMODG00000005303	DDX28	25.0	37.0	13.0	15.0	13.0	10.0
ENSMODG00000005305	EMSY	13.0	23.0	11.0	9.0	4.0	11.0
ENSMODG00000005306	SPAG17	0.5	0.2		0.1		11.0
ENSMODG00000005308	ARSJ	0.2		0.2	0.3	0.2	0.3
ENSMODG00000005310	TANK	5.0	4.0	3.0	3.0	2.0	9.0
ENSMODG00000005311	ENSMODG00000005311	15.0	18.0	34.0	57.0	19.0	9.0
ENSMODG00000005312	SERPINB12	0.1					2.0
ENSMODG00000005314	ATP5D	429.0	708.0	1408.0	1116.0	485.0	69.0
ENSMODG00000005315	THAP12	23.0	18.0	20.0	12.0	15.0	8.0
ENSMODG00000005316	HSDL2	22.0	16.0	66.0	74.0	90.0	405.0
ENSMODG00000005317	CAMK2D	57.0	73.0	47.0	9.0	11.0	10.0
ENSMODG00000005318	ENSMODG00000005318	102.0	81.0	48.0	80.0	33.0	78.0
ENSMODG00000005319	TBX15	1.0	0.1	0.1			
ENSMODG00000005320	ALAS2	5.0	4.0	19.0	4.0	32.0	69.0
ENSMODG00000005322	NTM	72.0	171.0	3.0	0.2	0.5	0.3
ENSMODG00000005323	ENSMODG00000005323	0.2				0.1	0.2
ENSMODG00000005326	ENSMODG00000005326	27.0	38.0	19.0	29.0	15.0	56.0
ENSMODG00000005327	ENSMODG00000005327	24.0	41.0	19.0	25.0	10.0	58.0
ENSMODG00000005328	IL17RC	2.0	7.0	7.0	13.0	22.0	1.0
ENSMODG00000005329	SLC7A7	3.0	4.0	34.0	31.0	5.0	2.0
ENSMODG00000005330	RNF167	101.0	169.0	71.0	138.0	70.0	138.0
