# Expression Atlas
# Query: Genes matching: 'default query', specifically expressed above the expression level cutoff: 0 TPM in experiment E-MTAB-3719
# Selected columns: 6 (all)
# Timestamp: Fri, 24-Aug-2018 23:20:29
Gene ID	Gene Name	brain	cerebellum	heart	kidney	liver	testis
ENSMODG00000000129	RBPJ	7.0	7.0	4.0	9.0	4.0	25.0
ENSMODG00000000130	LFNG	27.0	48.0	7.0	55.0	7.0	0.7
ENSMODG00000000131	CEP57	13.0	14.0	6.0	8.0	4.0	147.0
ENSMODG00000000132	MAML3	9.0	44.0	1.0	3.0	0.5	10.0
ENSMODG00000000134	PPP2R3B	12.0	11.0	12.0	4.0	3.0	9.0
ENSMODG00000000135	RTF1	80.0	48.0	28.0	26.0	16.0	77.0
ENSMODG00000000137	SMIM20	33.0	28.0	43.0	41.0	27.0	8.0
ENSMODG00000000138	ENSMODG00000000138					0.5	
ENSMODG00000000139	FAM76B	11.0	14.0	4.0	6.0	3.0	8.0
ENSMODG00000000141	NDUFAF1	25.0	19.0	42.0	21.0	13.0	15.0
ENSMODG00000000142	NUDT13	4.0	3.0	13.0	74.0	6.0	1.0
ENSMODG00000000144	KIF21B	44.0	11.0	0.1	7.0	0.9	103.0
ENSMODG00000000145	ENSMODG00000000145	77.0	88.0	9.0	66.0	11.0	26.0
ENSMODG00000000147	TSN	23.0	26.0	10.0	12.0	5.0	9.0
ENSMODG00000000148	ENSMODG00000000148				0.1		412.0
ENSMODG00000000149	ECD	34.0	35.0	19.0	23.0	14.0	506.0
ENSMODG00000000151	ENSMODG00000000151	5.0	3.0	0.6	2.0	0.2	38.0
ENSMODG00000000152	ENSMODG00000000152	20.0	14.0	6.0	11.0	9.0	30.0
ENSMODG00000000154	SEL1L3	18.0	53.0	0.2	14.0	0.8	0.8
ENSMODG00000000155	PDE12	29.0	36.0	9.0	12.0	10.0	7.0
ENSMODG00000000157	ENSMODG00000000157	0.3		0.4	0.9	0.7	1.0
ENSMODG00000000158	CHP1	291.0	255.0	162.0	454.0	166.0	107.0
ENSMODG00000000160	CLGN	1.0	3.0	0.1	1.0	0.1	406.0
ENSMODG00000000161	FAM149B1	12.0	27.0	6.0	13.0	8.0	65.0
ENSMODG00000000162	ENSMODG00000000162	17.0	10.0	7.0	20.0	7.0	176.0
ENSMODG00000000163	SESN3	42.0	30.0	15.0	27.0	6.0	16.0
ENSMODG00000000164	EXD1	8.0	7.0	1.0	3.0	0.9	5.0
ENSMODG00000000165	ENDOD1	9.0	12.0	1.0	12.0	1.0	8.0
ENSMODG00000000167	DNAJC9	23.0	34.0	20.0	17.0	8.0	46.0
ENSMODG00000000168	MRPS16	41.0	70.0	41.0	60.0	45.0	18.0
ENSMODG00000000169	ENSMODG00000000169	66.0	44.0	23.0	36.0	19.0	60.0
ENSMODG00000000170	CACNA1S	0.2	1.0	4.0	0.3		0.1
ENSMODG00000000172	ENSMODG00000000172	0.2					
ENSMODG00000000173	DACH1	5.0	11.0	12.0	10.0	1.0	0.7
ENSMODG00000000174	ENSMODG00000000174						0.2
ENSMODG00000000175	CDK5RAP1	8.0	10.0	11.0	9.0	6.0	6.0
ENSMODG00000000176	ENSMODG00000000176	29.0	38.0	13.0	23.0	18.0	34.0
ENSMODG00000000178	ENSMODG00000000178	35.0	36.0	15.0	6.0	4.0	10.0
ENSMODG00000000179	ENSMODG00000000179	2.0	2.0	0.7	2.0	0.9	2.0
ENSMODG00000000180	AMOTL1	10.0	5.0	13.0	14.0	5.0	28.0
ENSMODG00000000181	TMEM9	119.0	209.0	1.0	2.0	0.3	474.0
ENSMODG00000000182	AMZ1	8.0	18.0	0.6	0.4	0.3	7.0
ENSMODG00000000183	LBP	5.0	3.0	2.0	2.0	271.0	0.2
ENSMODG00000000184	INO80	24.0	38.0	10.0	22.0	12.0	18.0
ENSMODG00000000185	ARF4	99.0	96.0	41.0	55.0	61.0	33.0
ENSMODG00000000187	ENSMODG00000000187	37.0	52.0	0.1	0.1		
ENSMODG00000000188	CFAP70	4.0	3.0	0.2	2.0		90.0
ENSMODG00000000189	BORA	2.0	2.0	0.5	1.0	1.0	16.0
ENSMODG00000000190	CHAC1	10.0	11.0	3.0	8.0	5.0	1.0
ENSMODG00000000192	GNA12	10.0	11.0	10.0	7.0	6.0	20.0
ENSMODG00000000193	CLASP1	31.0	23.0	11.0	13.0	5.0	24.0
ENSMODG00000000195	ENSMODG00000000195	10.0	3.0	3.0	0.6	0.2	0.9
ENSMODG00000000196	ENSMODG00000000196	0.6					
ENSMODG00000000197	ENSMODG00000000197	1.0	1.0	0.4	0.4	0.3	0.3
ENSMODG00000000198	DLL4	9.0	4.0	23.0	16.0	8.0	1.0
ENSMODG00000000199	ENSMODG00000000199	32.0	29.0	12.0	20.0	12.0	6.0
ENSMODG00000000200	VPS18	25.0	39.0	10.0	22.0	11.0	12.0
ENSMODG00000000203	TGM2	0.4	0.5	116.0	30.0	23.0	6.0
ENSMODG00000000204	DENND6A	16.0	16.0	6.0	16.0	5.0	7.0
ENSMODG00000000206	RIT2	8.0	11.0	0.1	0.1	0.4	0.8
ENSMODG00000000207	RHOV	9.0	1.0		0.2		
ENSMODG00000000208	DIS3	6.0	5.0	4.0	4.0	3.0	45.0
ENSMODG00000000209	TBC1D9	36.0	58.0	4.0	2.0	1.0	34.0
ENSMODG00000000210	RPRD1B	16.0	19.0	7.0	10.0	4.0	8.0
ENSMODG00000000211	ENSMODG00000000211	80.0	81.0	69.0	114.0	55.0	18.0
ENSMODG00000000212	SPINT1	2.0	8.0	0.1	51.0	0.5	0.2
ENSMODG00000000213	CARD11	1.0	0.7	0.7	0.2	0.8	0.3
ENSMODG00000000214	TTI1	7.0	9.0	5.0	6.0	3.0	5.0
ENSMODG00000000215	ENSMODG00000000215	0.3	0.4		23.0		
ENSMODG00000000216	RNF150	16.0	34.0	18.0	18.0	0.7	18.0
ENSMODG00000000217	PIWIL4	0.1	0.1		0.1		4.0
ENSMODG00000000218	VSTM2L	200.0	662.0	0.1	1.0		0.6
ENSMODG00000000219	PIK3C3	20.0	17.0	8.0	12.0	8.0	17.0
ENSMODG00000000220	PPP3CB	166.0	120.0	27.0	21.0	15.0	13.0
ENSMODG00000000221	ZFYVE19	15.0	23.0	7.0	15.0	7.0	8.0
ENSMODG00000000222	ANKRD49	19.0	19.0	5.0	7.0	4.0	46.0
ENSMODG00000000223	ZNF330	26.0	27.0	26.0	41.0	24.0	29.0
ENSMODG00000000226	CTNNBL1	18.0	20.0	6.0	9.0	5.0	12.0
ENSMODG00000000227	SLMAP	48.0	37.0	80.0	53.0	22.0	65.0
ENSMODG00000000228	GCHFR	3.0	53.0	5.0	21.0	212.0	1.0
ENSMODG00000000229	TFCP2L1	4.0	0.2		95.0	4.0	0.1
ENSMODG00000000231	MRE11	5.0	4.0	3.0	6.0	4.0	9.0
ENSMODG00000000232	SDK1	2.0	0.5	0.8	4.0	0.1	2.0
ENSMODG00000000233	ENSMODG00000000233	1.0	0.7	0.2	0.4	0.2	3.0
ENSMODG00000000234	ENSMODG00000000234	4.0	2.0	0.3	0.8	0.5	4.0
ENSMODG00000000235	IL15	0.3	0.3	2.0	4.0	1.0	0.1
